Dates,AAPL US Equity,META US Equity,MSFT US Equity
1/3/2022,0.025004,0.006511,-0.004668
1/4/2022,-0.012692,-0.005937,-0.017147
1/5/2022,-0.0266,-0.036728,-0.038388
1/6/2022,-0.016693,0.025573,-0.007902
1/7/2022,0.000988,-0.002015,0.00051
1/10/2022,0.000116,-0.011212,0.000732
1/11/2022,0.016784,0.019203,0.002259
1/12/2022,0.00257,-0.00332,0.010445
1/13/2022,-0.019028,-0.020344,-0.042323
1/14/2022,0.005111,0.016601,0.017717
1/17/2022,0.005111,0.016601,0.017717
1/18/2022,-0.018894,-0.041428,-0.024339
1/19/2022,-0.021025,0.004526,0.002247
1/20/2022,-0.010347,-0.009481,-0.005703
1/21/2022,-0.012765,-0.042298,-0.018468
1/24/2022,-0.004864,0.018274,0.001149
1/25/2022,-0.011385,-0.027728,-0.026588
1/26/2022,-0.000563,-0.018391,0.028493
1/27/2022,-0.002943,0.000034,0.010549
1/28/2022,0.069778,0.023995,0.028082
1/31/2022,0.026126,0.038282,0.008824
2/1/2022,-0.000973,0.018323,-0.007139
2/2/2022,0.007044,0.012539,0.015222
2/3/2022,-0.01672,-0.263901,-0.038952
2/4/2022,-0.00295,-0.002818,0.015568
2/7/2022,-0.004235,-0.051373,-0.01631
2/8/2022,0.018467,-0.021031,0.011995
2/9/2022,0.008294,0.053683,0.021835
2/10/2022,-0.023599,-0.01694,-0.028373
2/11/2022,-0.020218,-0.037357,-0.024274
2/14/2022,0.001423,-0.008426,-0.000136
2/15/2022,0.023153,0.015158,0.018542
2/16/2022,-0.001389,-0.020181,-0.003228
2/17/2022,-0.021269,-0.040778,-0.029282
2/18/2022,-0.009356,-0.007462,-0.009631
2/21/2022,-0.009356,-0.007462,-0.009631
2/22/2022,-0.017812,-0.01979,-0.000729
2/23/2022,-0.025864,-0.017963,-0.025893
2/24/2022,0.01668,0.046107,0.051094
2/25/2022,0.012965,0.013873,0.009233
2/28/2022,0.001638,0.002613,0.004978
3/1/2022,-0.011628,-0.03573,-0.012852
3/2/2022,0.020588,0.022704,0.017766
3/3/2022,-0.001981,-0.024698,-0.014224
3/4/2022,-0.018408,-0.014337,-0.020479
3/7/2022,-0.023718,-0.062931,-0.037777
3/8/2022,-0.011676,0.015042,-0.010971
